Title,Price,Address,Beds
"One East Delaware, Chicago, IL","$1,750","1 E Delaware Pl, Chicago, IL 60611",Studio - 2 Bed
"Lofts At River East, Chicago, IL","$2,035","401-465 E Illinois St, Chicago, IL 60611",Studio - 3 Bed
"One Bennett Park, Chicago, IL","$3,460","514 N Peshtigo Ct, Chicago, IL 60611",1-3 Bed
"420 E Ohio, Chicago, IL","$1,816","420 E Ohio St, Chicago, IL 60611",Studio - 3 Bed
"Lake Shore Plaza, Chicago, IL","$1,400","445 E Ohio St, Chicago, IL 60611",Studio - 2 Bed
"500 Lake Shore Drive, Chicago, IL","$1,950","500 N Lake Shore Dr, Chicago, IL 60611",Studio - 3 Bed
"40 East Oak, Chicago, IL","$1,385","40 E Oak St, Chicago, IL 60611",Studio - 1 Bed
"Axis Apartments &amp; Lofts, Chicago, IL","$1,550","441 E Erie St, Chicago, IL 60611",Studio - 3 Bed
"The Sinclair, Chicago, IL","$2,116","102 W Division St, Chicago, IL 60610",Studio - 4 Bed
"Seneca, Chicago, IL","$1,254","200 E Chestnut St, Chicago, IL 60611",Studio - 2 Bed
"14 West Elm Apartments, Chicago, IL","$1,250","14 W Elm St, Chicago, IL 60610",Studio - 2 Bed
"Gold Coast City Club Apartments, Chicago, IL","$1,520","860 N Dewitt Pl, Chicago, IL 60611",Studio - 2 Bed
"850 Lake Shore Drive, Chicago, IL","$2,120","850 N Lake Shore Dr, Chicago, IL 60611",1-2 Bed
"Cobbler Square Lofts, Chicago, IL","$1,580","1350 N Wells St, Chicago, IL 60610",Studio - 2 Bed
"65 East Scott, Chicago, IL","$1,420","65 E Scott St, Chicago, IL 60610",Studio - 2 Bed
"1401 S. State, Chicago, IL","$1,645","1401 S State St, Chicago, IL 60605",Studio - 2 Bed
"Aston, Chicago, IL","$1,985","200 E Illinois St, Chicago, IL 60611",1-3 Bed
"SCIO AT THE MEDICAL DISTRICT, Chicago, IL","$1,436","901 S Ashland Ave, Chicago, IL 60607",Studio - 2 Bed
"The Otis, Chicago, IL","$1,850","1435 W 15th St, Chicago, IL 60608",1-2 Bed
"Arkadia West Loop, Chicago, IL","$1,700","765 W Adams St, Chicago, IL 60661",Studio - 3 Bed
"Luxe on Madison, Chicago, IL","$1,895","1222 W Madison St, Chicago, IL 60607",Studio - 2 Bed
"The Madison at Racine, Chicago, IL","$1,884","1164-1212 W Madison St, Chicago, IL 60607",Studio - 2 Bed
"Porte, Chicago, IL","$2,170","855 W Madison St, Chicago, IL 60607",Studio - 3 Bed
"Circa 922, Chicago, IL","$1,805","922 W Washington Blvd, Chicago, IL 60607",Studio - 2 Bed
"Lake Street Lofts, Chicago, IL","$1,895","910 W Lake St, Chicago, IL 60607",1-2 Bed
"Wells Place Apartments, Chicago, IL","$2,334","837-839 S Wells St, Chicago, IL 60607",1-2 Bed
"The Regal Apartments, Chicago, IL","$1,613","651 S Wells St, Chicago, IL 60607",1-3 Bed
"Roosevelt Collection Lofts, Chicago, IL","$2,090","150 W Roosevelt Rd, Chicago, IL 60605",1-2 Bed
"180 North Jefferson, Chicago, IL","$1,624","180 N Jefferson St, Chicago, IL 60661",Studio - 3 Bed
