Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
"Gramercy Row Apartments, Chicago, IL","$1,080","658-662 N Dearborn St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8941975,-87.6299485
"west77, Chicago, IL","$1,535","77 W Huron, Chicago, IL 60654",Studio - 4 Bed,River North,41.894724,-87.6307346
"NEXT Apartments, Chicago, IL","$1,633","347 W Chestnut St, Chicago, IL 60610",Studio - 3 Bed,Near North Side,41.8979847,-87.6375246
"The Bush Temple, Chicago, IL","$1,450","108 W Chicago Ave, Chicago, IL 60654",Studio - 2 Bed,Near North,41.8967863,-87.6317246
"Niche 905, Chicago, IL","$2,036","905 N Orleans St, Chicago, IL 60610",Studio - 3 Bed,Near North,41.8991374,-87.6371083
"Residences at 8 East Huron, Chicago, IL","$2,427","8 E Huron St, Chicago, IL 60611",1-3 Bed,River North,41.8950138,-87.6279149
"100 West Chestnut Apartments, Chicago, IL","$1,774","100 W Chestnut St, Chicago, IL 60610",1-2 Bed,Near North,41.8981584,-87.6317313
"55 W. Chestnut, Chicago, IL","$1,652","55 W Chestnut St, Chicago, IL 60610",1 Bed,Rush & Division,41.8976433,-87.6303245
"The Bernardin, Chicago, IL","$2,039","747 N Wabash Ave, Chicago, IL 60611",Studio - 2 Bed,River North,41.8963585,-87.62667069999999
"465 North Park, Chicago, IL","$1,952","465 N Park Dr, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8906295,-87.61902359999999
"The Chicagoan, CHICAGO, IL","$1,978","750 N RUSH St, CHICAGO, IL 60611",1-2 Bed,River North,41.8963109,-87.625849
"Two West, Chicago, IL","$3,635","2 W Delaware Pl, Chicago, IL 60610",1-5 Bed,Rush & Division,41.8992395,-87.6290868
"TWO Old Town Park, Chicago, IL","$2,073","202 W Hill St, Chicago, IL 60610",Studio - 3 Bed,Near North,41.9024688,-87.6350246
"Atrium at Old Town Park, Chicago, IL","$1,417","303 W Division St, Chicago, IL 60610",Studio - 2 Bed,Near North,41.9034431,-87.63614659999999
"McClurg Court, Chicago, IL","$1,485","333 E Ontario St, Chicago, IL 60611",Studio - 2 Bed,Streeterville,41.8932746,-87.61870979999999
"Dearborn Plaza, Chicago, IL",$965,"1030 N Dearborn St, Chicago, IL 60610",Studio,Rush & Division,41.9015162,-87.6301692
"1100 N Dearborn, Chicago, IL","$1,360","1100 N Dearborn St, Chicago, IL 60610",Studio - 2 Bed,Rush & Division,41.9020552,-87.6302015
"1111 N. Dearborn, Chicago, IL","$1,491","1111 N Dearborn Ave, Chicago, IL 60610",Studio - 3 Bed,Rush & Division,41.9020875,-87.62957279999999
"Dearborn North, Chicago, IL","$1,100","1117 N Dearborn St, Chicago, IL 60610",Studio - 1 Bed,Rush & Division,41.9024331,-87.62955099999999
"The Chatelaine, Chicago, IL","$2,000","215 E Chestnut St, Chicago, IL 60611",1-4 Bed,Streeterville,41.8982146,-87.6212797
"1225 Old Town, Chicago, IL",Call for Rent,"1225 N Wells St, Chicago, IL 60610",Studio - 3 Bed,Near North Side,41.9047108,-87.6343403
"Park Dearborn, Chicago, IL","$1,195","1260 N Dearborn St, Chicago, IL 60610",Studio - 1 Bed,Gold Coast,41.9056364,-87.630473
"Reside on Jackson, Chicago, IL","$2,145","1241 W Jackson Blvd, Chicago, IL 60607",1-3 Bed,West Loop,41.8776134,-87.65850689999999
"The Aberdeen West Loop, Chicago, IL","$1,565","4-22 N Aberdeen St, Chicago, IL 60607",Studio - 3 Bed,West Loop,41.8895747,-87.6549077
"1313 Randolph Street Lofts, Chicago, IL","$1,721","1313 W Randolph St, Chicago, IL 60607",Studio - 2 Bed,West Loop,41.8838597,-87.6594231
"The Lofts at Gin Alley, Chicago, IL","$2,099","120 N Green St, Chicago, IL 60607",Studio - 3 Bed,West Loop,41.8840188,-87.6490098
"Westhaven Park, Chicago, IL",$770,"1949 W Lake St, Chicago, IL 60612",1-3 Bed,Near West Side,41.8848129,-87.6761586
"TRIO Apartments, Chicago, IL","$2,060","670 W Wayman St, Chicago, IL 60661",1-3 Bed,West Loop,41.887525,-87.6454396
"Reside on Green Street, Chicago, IL","$1,678","504 N Green St, Chicago, IL 60642",Studio - 3 Bed,West Town,41.8914503,-87.6489302
"One 333, Chicago, IL","$1,866","1333 S Wabash Ave, Chicago, IL 60605",1-3 Bed,Near South Side,41.8648568,-87.6251939
"Hubbard Place, Chicago, IL","$1,736","360 W Hubbard St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8904527,-87.6384185
"Luxe on Chicago, Chicago, IL","$1,635","1838 W Chicago Ave, Chicago, IL 60622",Studio - 3 Bed,West Town,41.8962042,-87.6737163
"440 N. Wabash Ave., Chicago, IL","$1,495","440 N Wabash Ave, Chicago, IL 60611",Studio - 2 Bed,River North,41.8903291,-87.6269895
